/home/jessica/GitHub/data_templates/01082020/20200108_2123.json
Profile from  2020-01-08 21:24:20.381116 to 2020-01-08 21:32:06.650325 added
1 profile(s) including those added from file /home/jessica/GitHub/data_templates/01082020/00000108.BIN
Temperature sensor 1 removed
/home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/metpy/xarray.py:655: MetpyDeprecationWarning: The dewpoint_rh function was deprecated in version 0.12. This function has been renamed dewpoint_from_relative_humidity.
  return func(*args, **kwargs)
         37220892 function calls (37138684 primitive calls) in 678.433 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.458    1.458  152.126  152.126 /home/jessica/GitHub/Profiles/profiles/Wind_Profile.py:178(_calc_winds)
    32368    1.418    0.000    2.401    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_ufunc_config.py:39(seterr)
    29123    1.261    0.000    7.934    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:693(convert)
   238192    1.259    0.000    1.317    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:300(__len__)
    21167    1.138    0.000   15.160    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1526(__array_ufunc__)
   212471    1.116    0.000    1.284    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/abc.py:137(__instancecheck__)
    95220    1.088    0.000    1.343    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1373(__getattr__)
   328694    1.002    0.000    1.002    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    32368    0.925    0.000    0.934    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_ufunc_config.py:139(geterr)
    34556    0.855    0.000    1.363    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:303(should_use_msec_field0)
    13225    0.837    0.000    4.979    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/matrixlib/defmatrix.py:117(__new__)
    10604    0.810    0.000    1.744    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:369(__truediv__)
    32287    0.766    0.000    2.308    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2045(sum)
    32296    0.765    0.000    1.531    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
   121764    0.732    0.000    0.732    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:352(<listcomp>)
    15880    0.727    0.000    4.520    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:390(to_root_units)
    32287    0.706    0.000    3.622    0.000 <__array_function__ internals>:2(sum)
    16140    0.702    0.000    1.330    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/lib/nanfunctions.py:70(_replace_nan)
    21167    0.697    0.000    4.772    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1493(_wrap_output)
        1    0.686    0.686   11.876   11.876 /home/jessica/GitHub/Profiles/profiles/Thermo_Profile.py:39(_init2)
    16147    0.679    0.000    3.788    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/lib/nanfunctions.py:184(_divide_by_count)
1623119/1590736    0.651    0.000    0.804    0.000 {built-in method builtins.len}
